22 4 68 84 59 62 61 79 52 57 77 53 76 90 28 20 47 83 41 78 87 18 6 91 15 43 65 92 71 12 75 44 55 7 56 30 37 26 35 21 0 63 49 1 80 16 70 88 14 5 60 42 54 34 31 46 19 40 25 50 48 45 9 86 85 17 27 81 67 2 11 64 51 69 29 13 89 36 66 23 73 33 32 10 72 82 39 3 38 74 24 8 58 
26 57 1 29 69 25 84 35 13 49 59 20 41 2 55 90 34 66 71 51 9 81 76 70 89 27 3 5 15 8 62 85 58 92 44 0 47 86 14 83 46 4 30 39 74 75 77 79 38 31 45 63 11 43 68 56 67 87 19 65 21 28 73 23 10 60 37 82 91 33 78 64 72 54 12 36 16 40 53 22 48 80 7 24 32 42 50 17 61 88 52 18 6 
27 89 55 39 13 86 9 18 29 63 75 17 50 65 11 12 54 1 37 24 23 14 59 41 35 70 19 25 91 68 46 0 36 88 31 53 30 44 22 61 47 51 49 20 5 80 82 60 81 2 28 77 78 34 38 4 45 62 6 64 74 8 21 33 43 69 90 85 87 79 26 32 83 52 42 48 73 3 66 7 71 76 92 84 57 58 56 67 72 40 16 10 15 
26 57 1 29 69 25 84 35 13 49 59 20 41 2 55 90 34 66 71 51 9 81 76 70 89 27 3 5 15 8 62 85 58 92 44 0 47 86 14 83 46 4 30 39 74 75 77 79 38 31 45 63 11 43 68 56 67 87 19 65 21 28 73 23 10 60 37 82 91 33 78 64 72 54 12 36 16 40 53 22 48 80 7 24 32 42 50 17 88 52 18 61 6 
22 4 68 84 59 62 61 79 52 57 77 53 76 90 28 20 47 83 41 78 87 18 6 91 15 43 65 92 71 12 75 44 55 7 56 30 37 26 35 21 0 63 49 1 80 16 70 88 14 5 60 42 54 34 31 46 19 40 25 50 48 45 9 86 85 17 27 81 67 2 11 64 51 69 29 13 89 36 66 23 73 33 32 10 72 82 39 3 8 38 74 24 58 
2 69 27 59 50 64 48 91 89 81 82 13 11 77 23 42 65 72 10 14 79 39 51 28 8 86 88 92 70 60 75 44 55 7 56 30 37 26 35 21 0 63 49 54 83 58 12 15 45 84 74 34 4 40 78 80 73 76 1 31 29 90 47 36 32 41 25 19 53 43 85 68 67 5 16 46 24 20 57 22 61 52 33 17 62 71 9 18 6 3 87 66 38 
13 55 11 18 2 42 37 15 23 86 68 10 29 89 0 92 39 26 41 17 72 20 59 80 51 43 76 35 24 31 66 12 75 49 1 21 48 85 69 53 8 27 58 33 56 16 84 91 44 40 19 77 78 34 38 4 45 62 6 64 74 28 14 22 71 30 25 50 36 73 65 3 70 61 79 32 88 81 7 90 83 47 57 46 5 54 82 52 67 9 63 87 60 
27 26 55 82 53 33 9 18 28 20 5 17 50 86 47 12 54 1 81 24 32 14 59 4 35 70 42 25 69 37 46 0 36 88 60 62 30 44 22 90 78 51 49 39 74 75 77 79 38 31 45 63 11 43 68 56 67 87 19 65 21 91 83 64 23 8 61 85 13 2 89 3 40 58 7 48 73 34 66 6 71 76 92 84 57 52 41 29 72 80 16 10 15 
19 34 31 65 30 14 49 83 3 57 4 48 92 85 84 88 2 79 72 39 53 28 15 20 51 33 90 27 16 5 21 86 81 89 40 76 68 13 64 35 43 23 63 37 59 42 52 74 87 70 55 26 91 77 22 18 41 71 60 46 50 0 8 6 78 11 12 44 24 38 25 73 62 32 7 17 56 58 54 66 80 36 47 10 45 82 69 61 29 67 75 1 9 
57 70 80 46 84 61 24 45 5 64 37 62 88 43 35 67 50 83 49 44 66 8 85 48 30 0 90 41 51 77 72 18 11 15 65 20 40 23 13 68 63 17 73 53 27 78 16 47 31 69 81 28 59 25 7 29 22 4 79 38 91 87 82 52 58 60 71 2 89 6 10 9 56 75 86 19 32 21 33 36 55 74 14 1 42 26 39 76 12 54 92 3 34 
2 69 27 59 50 64 48 91 89 81 82 13 11 77 23 40 15 72 10 45 79 39 51 28 8 43 7 92 71 12 75 44 55 65 56 30 37 26 35 21 0 63 49 1 80 16 70 88 14 5 60 42 54 34 78 83 73 76 4 31 29 90 47 36 32 41 25 19 53 86 85 68 67 84 58 46 24 20 57 22 61 52 33 17 62 74 9 18 6 3 87 66 38 
19 34 31 65 30 14 49 83 3 57 4 48 92 85 84 88 2 79 72 39 53 28 15 76 51 33 90 27 16 5 21 86 81 89 35 20 40 23 13 68 63 17 43 37 59 42 52 74 87 70 55 26 91 77 22 18 41 71 60 46 50 0 8 6 78 11 12 44 24 38 25 73 62 32 7 64 56 58 54 66 80 36 47 10 45 82 69 61 29 67 75 1 9 
42 83 53 4 23 81 25 70 36 24 91 44 61 54 30 40 89 32 51 16 88 17 68 35 31 14 8 22 2 76 33 45 29 21 1 79 59 55 26 74 18 41 77 46 19 0 5 84 50 3 69 49 66 72 52 9 11 67 60 7 15 34 62 87 38 28 58 57 92 64 27 12 82 10 56 47 75 13 71 43 85 63 80 65 6 90 39 73 48 78 37 20 86 
81 26 40 13 77 53 1 22 78 75 16 2 79 63 86 60 49 41 87 21 90 89 39 47 82 46 70 68 48 72 38 7 88 73 33 69 54 9 91 20 18 61 65 15 44 67 25 59 24 12 11 64 55 17 52 8 23 83 35 50 45 31 71 37 62 58 42 6 27 30 66 34 32 57 0 28 19 56 80 36 74 3 43 10 4 76 51 14 29 5 84 92 85 
74 40 23 18 11 77 7 89 42 52 22 59 30 15 67 20 45 31 26 33 27 35 76 14 38 5 51 3 2 73 68 21 9 0 82 24 58 83 34 32 54 60 70 44 57 90 72 88 62 19 80 6 87 16 78 64 65 86 39 47 50 1 81 55 56 41 37 46 53 8 10 28 66 91 79 71 85 61 29 17 84 36 4 48 49 25 69 63 12 92 43 75 13 
84 34 55 24 32 81 13 68 26 41 2 36 8 49 44 31 72 76 4 51 80 90 42 33 11 22 9 87 53 29 3 19 35 21 62 28 0 40 64 16 85 88 79 54 83 58 12 7 45 5 74 82 10 30 78 92 20 65 75 14 59 39 47 60 50 48 25 77 70 43 63 91 67 37 73 46 56 15 57 86 61 52 23 17 27 71 89 18 6 1 69 66 38 
84 35 24 74 34 60 51 64 44 59 67 83 31 22 49 63 88 3 66 1 85 36 71 19 30 21 77 72 54 9 7 65 86 42 41 78 8 75 87 76 11 17 53 90 70 46 79 62 14 13 32 20 68 47 29 81 73 45 15 4 58 69 82 0 50 2 26 10 40 28 33 55 80 48 5 61 56 12 23 91 6 18 52 37 43 27 89 39 25 57 38 16 92 
17 16 43 25 53 49 32 39 44 59 56 83 31 23 38 6 88 3 66 1 85 36 71 19 30 57 77 72 27 9 7 65 86 42 41 18 61 20 51 11 13 10 80 73 28 84 75 70 47 12 26 58 40 24 37 91 0 5 81 90 52 62 34 4 78 29 55 14 67 45 33 69 60 35 82 22 68 50 64 74 8 92 21 79 76 89 87 54 48 15 2 46 63 
57 16 56 11 7 1 32 23 50 33 91 47 83 80 90 49 13 40 21 6 12 30 28 74 38 17 88 35 71 10 53 70 14 36 22 39 65 75 87 25 18 52 77 9 19 0 5 84 2 51 20 82 37 85 41 43 61 24 69 26 66 62 34 4 78 29 55 86 67 45 59 81 60 72 58 3 68 44 64 27 8 92 73 79 76 89 42 54 48 15 31 46 63 
